customer_id,province,city,district,street_name,home_number,last_update
C00001,Ohio,Lithopolis,Fairfield,Carpenter Gardens,648,2024-01-17 13:53:22
C00002,West Virginia,Athens,Mercer,Joseph Locks,839,2024-01-30 19:22:13
C00002,California,Smartville,Nevada,Nicole Dam,6728,2024-01-30 19:22:13
C00003,Michigan,Ada,Kent,Christopher Cliffs,19359,2024-01-27 02:26:22
C00004,Kentucky,Warfield,Martin,Jennifer Coves,37605,2024-01-14 10:21:00
C00005,Ohio,Winona,Columbiana,Hawkins Court,5025,2024-01-06 04:54:31
C00006,Florida,Pensacola,Escambia,Jose Ridges,65034,2024-01-16 18:38:51
C00007,Alabama,Cook Springs,Saint Clair,Theodore Streets,1824,2024-01-19 18:35:53
C00008,Minnesota,Maynard,Chippewa,Amy Stream,67821,2024-01-12 11:45:02
C00008,Missouri,Sarcoxie,Jasper,Miller Groves,8135,2024-01-12 11:45:02
C00009,New York,Bronx,Bronx,Samantha Road,4869,2024-01-25 16:32:18
C00009,Michigan,North Star,Gratiot,Holly Prairie,9874,2024-01-25 16:32:18
C00010,Texas,Mathis,San Patricio,Bradley Spurs,55945,2024-01-29 16:01:54
C00010,Maryland,Sharpsburg,Washington,Daniel Ridges,92075,2024-01-29 16:01:54
C00011,New York,Round Lake,Saratoga,Michael Cliffs,1603,2024-01-06 18:12:21
C00012,Georgia,Harlem,Columbia,Clark Island,62189,2024-01-24 09:43:07
C00012,Michigan,Moscow,Hillsdale,Murphy Rapid,67000,2024-01-24 09:43:07
C00013,New York,Upper Jay,Essex,Kenneth Prairie,2046,2024-01-18 08:01:42
C00013,Iowa,Riceville,Howard,Fleming Harbor,896,2024-01-18 08:01:42
C00014,Florida,Milton,Santa Rosa,Jimenez Causeway,6420,2024-01-25 19:07:30
C00015,Vermont,Jericho,Chittenden,Burns Mills,8097,2024-01-09 08:57:36
C00016,Oklahoma,Cartwright,Bryan,Tate Forges,89062,2024-01-23 12:18:10
C00017,North Carolina,Hallsboro,Columbus,Liu Tunnel,26540,2024-01-06 02:35:05
C00017,Missouri,Ulman,Miller,Randy Isle,953,2024-01-06 02:35:05
C00018,Texas,Falcon Heights,Starr,Martin Ferry,22427,2024-02-02 04:45:12
C00018,Georgia,Swainsboro,Emanuel,Brandt Neck,746,2024-02-02 04:45:12
C00019,New York,Willseyville,Tioga,Kathryn Ridge,60112,2024-01-24 11:38:31
C00020,California,Colusa,Colusa,Ferguson Path,600,2024-01-11 04:53:04
C00021,Wisconsin,Sherwood,Calumet,Chapman Locks,7823,2024-02-10 14:22:15
C00022,Minnesota,Angora,Saint Louis,Gerald Ranch,7047,2024-01-16 23:20:08
C00022,California,Orinda,Contra Costa,Virginia Lodge,2612,2024-01-16 23:20:08
C00023,Tennessee,Rockvale,Rutherford,Perez Trace,5365,2024-01-09 10:37:35
C00024,Oklahoma,Hendrix,Bryan,Steven Keys,254,2024-01-13 15:01:33
C00025,Delaware,Marydel,Kent,Kyle Crossing,838,2024-01-20 08:30:19
C00026,Nebraska,Madison,Madison,Johns Lake,64,2024-01-24 16:06:44
C00026,Indiana,Rockfield,Carroll,Delgado Heights,752,2024-01-24 16:06:44
C00027,Pennsylvania,Oak Ridge,Armstrong,Sheryl Drives,748,2024-01-08 09:42:18
C00028,Texas,Inez,Victoria,Fleming River,177,2024-01-29 16:44:14
C00029,California,Laytonville,Mendocino,Newman Springs,272,2024-01-08 03:02:50
C00030,Ohio,Commercial Point,Pickaway,Cohen Viaduct,75080,2024-02-04 16:33:30
C00030,Wisconsin,Kenosha,Kenosha,Catherine Loaf,4530,2024-02-04 16:33:30
C00031,Illinois,Jacksonville,Morgan,Lynch Turnpike,58824,2024-01-21 15:49:48
C00032,Pennsylvania,Pennsylvania Furnace,Centre,Smith Walks,181,2024-01-11 23:26:59
C00033,Oklahoma,Leflore,Le Flore,Palmer Cliff,5244,2024-02-01 08:19:32
C00033,California,Winterhaven,Imperial,Rangel Lake,4608,2024-02-01 08:19:32
C00034,North Carolina,Cashiers,Jackson,Thomas River,78105,2024-02-01 09:54:47
C00034,Washington,Sumas,Whatcom,Dawn Crossing,87884,2024-02-01 09:54:47
