customer_id,phone,create_time
C00001,255-617-4892,2024-01-08 13:53:22
C00001,800-341-9322,2024-01-08 13:53:22
C00001,371-447-9711,2024-01-08 13:53:22
C00002,877-969-1040,2024-01-22 19:22:13
C00002,337-954-7637,2024-01-22 19:22:13
C00003,843-595-9501,2024-01-23 02:26:22
C00003,622-911-3712,2024-01-23 02:26:22
C00004,481-974-2698,2024-01-07 10:21:00
C00005,905-911-2455,2024-01-01 04:54:31
C00005,614-701-5638,2024-01-01 04:54:31
C00005,705-840-6018,2024-01-01 04:54:31
C00006,718-641-9963,2024-01-12 18:38:51
C00007,794-686-5261,2024-01-18 18:35:53
C00008,787-882-3905,2024-01-11 11:45:02
C00008,782-620-9758,2024-01-11 11:45:02
C00009,599-497-1351,2024-01-18 16:32:18
C00009,848-994-4483,2024-01-18 16:32:18
C00009,350-365-4860,2024-01-18 16:32:18
C00010,548-344-7369,2024-01-28 16:01:54
C00010,545-591-3683,2024-01-28 16:01:54
C00011,736-950-6518,2024-01-01 18:12:21
C00011,773-958-8175,2024-01-01 18:12:21
C00011,323-418-9547,2024-01-01 18:12:21
C00012,455-457-2927,2024-01-20 09:43:07
C00012,414-232-2705,2024-01-20 09:43:07
C00013,741-711-1815,2024-01-16 08:01:42
C00014,730-756-6612,2024-01-21 19:07:30
C00014,243-578-5060,2024-01-21 19:07:30
C00014,579-475-6992,2024-01-21 19:07:30
C00015,943-742-9045,2024-01-04 08:57:36
C00015,366-574-5379,2024-01-04 08:57:36
C00016,831-356-1005,2024-01-17 12:18:10
C00016,268-538-1879,2024-01-17 12:18:10
C00016,851-914-5324,2024-01-17 12:18:10
C00017,471-929-3905,2024-01-01 02:35:05
C00017,359-616-7823,2024-01-01 02:35:05
C00017,993-788-2820,2024-01-01 02:35:05
C00018,347-690-2862,2024-01-26 04:45:12
C00018,718-519-7646,2024-01-26 04:45:12
C00018,843-706-1902,2024-01-26 04:45:12
C00019,643-550-6625,2024-01-16 11:38:31
C00019,748-803-9594,2024-01-16 11:38:31
C00019,723-947-5568,2024-01-16 11:38:31
C00020,743-740-2275,2024-01-07 04:53:04
C00021,730-704-3177,2024-01-31 14:22:15
C00021,732-258-1033,2024-01-31 14:22:15
C00021,774-736-4450,2024-01-31 14:22:15
C00022,289-239-4965,2024-01-15 23:20:08
C00022,366-384-6328,2024-01-15 23:20:08
C00023,788-459-6726,2024-01-06 10:37:35
C00024,636-266-9599,2024-01-07 15:01:33
C00024,354-358-3748,2024-01-07 15:01:33
C00024,888-753-2661,2024-01-07 15:01:33
C00025,971-757-2935,2024-01-13 08:30:19
C00026,335-942-9613,2024-01-17 16:06:44
C00027,547-203-4169,2024-01-01 09:42:18
C00027,595-418-6593,2024-01-01 09:42:18
C00028,713-402-3902,2024-01-23 16:44:14
C00028,849-518-3494,2024-01-23 16:44:14
C00029,976-351-8344,2024-01-05 03:02:50
C00029,616-245-3737,2024-01-05 03:02:50
C00030,897-295-5209,2024-01-26 16:33:30
C00031,838-349-9612,2024-01-19 15:49:48
C00032,696-438-3189,2024-01-05 23:26:59
C00033,365-477-1495,2024-01-26 08:19:32
C00034,780-584-1220,2024-01-29 09:54:47
C00034,901-834-8783,2024-01-29 09:54:47
C00034,791-550-3558,2024-01-29 09:54:47
C00035,848-710-3627,2024-01-11 18:16:22
C00035,722-462-2312,2024-01-11 18:16:22
C00035,706-435-7282,2024-01-11 18:16:22
C00036,553-845-9161,2024-01-10 23:52:22
C00036,302-807-7430,2024-01-10 23:52:22
C00037,719-283-8630,2024-01-21 08:29:19
C00037,793-785-5698,2024-01-21 08:29:19
C00038,771-659-5355,2024-01-28 14:18:36
C00038,790-568-9607,2024-01-28 14:18:36
C00038,598-650-3264,2024-01-28 14:18:36
C00039,999-916-1524,2024-01-28 01:21:03
C00039,847-716-8777,2024-01-28 01:21:03
C00040,400-209-4085,2024-01-08 21:00:03
C00040,627-666-7843,2024-01-08 21:00:03
C00040,225-656-9851,2024-01-08 21:00:03
C00041,431-892-1547,2024-01-29 21:00:45
C00041,766-406-2453,2024-01-29 21:00:45
C00042,280-905-3341,2024-01-17 22:31:05
C00043,552-441-4538,2024-01-05 08:44:21
C00043,448-813-1241,2024-01-05 08:44:21
C00043,889-950-3583,2024-01-05 08:44:21
C00044,526-870-7467,2024-01-02 15:10:21
C00044,433-782-1252,2024-01-02 15:10:21
C00045,567-701-4502,2024-01-14 06:05:43
C00045,936-876-8868,2024-01-14 06:05:43
C00045,782-532-3111,2024-01-14 06:05:43
C00046,575-768-5398,2024-01-13 08:10:20
C00047,274-582-1054,2024-01-12 11:02:12
C00047,867-564-9327,2024-01-12 11:02:12
C00048,886-855-3877,2024-01-26 02:21:12
C00048,705-679-3210,2024-01-26 02:21:12
C00049,305-349-4400,2024-01-05 05:59:41
C00049,334-749-9927,2024-01-05 05:59:41
C00049,861-301-6097,2024-01-05 05:59:41
C00050,267-659-1669,2024-01-10 01:06:04
C00050,230-219-7838,2024-01-10 01:06:04
C00051,334-294-7993,2024-01-19 09:25:15
C00052,360-665-1341,2024-01-18 06:51:42
C00052,949-579-7298,2024-01-18 06:51:42
C00052,374-361-6245,2024-01-18 06:51:42
C00053,785-871-6414,2024-01-03 10:54:58
C00053,729-349-2413,2024-01-03 10:54:58
C00054,831-765-7764,2024-01-29 07:30:00
C00055,694-462-5653,2024-01-31 15:59:02
C00056,281-433-2184,2024-01-15 14:39:05
C00057,652-209-4767,2024-01-18 23:31:31
C00057,785-595-7155,2024-01-18 23:31:31
C00057,453-439-3492,2024-01-18 23:31:31
C00058,630-869-2498,2024-01-10 05:03:52
C00059,623-355-9253,2024-01-17 12:46:48
C00060,536-448-8490,2024-01-28 09:04:17
C00061,288-312-8593,2024-01-13 07:13:45
C00061,603-413-4359,2024-01-13 07:13:45
C00061,643-964-7204,2024-01-13 07:13:45
C00062,571-540-4428,2024-01-11 08:06:10
C00062,220-223-2181,2024-01-11 08:06:10
C00062,783-763-4437,2024-01-11 08:06:10
C00063,674-923-5544,2024-01-04 11:15:03
C00064,748-509-8204,2024-01-07 16:30:16
C00064,250-276-9019,2024-01-07 16:30:16
C00065,908-377-2596,2024-01-17 11:10:31
C00065,667-494-8945,2024-01-17 11:10:31
C00065,692-835-4882,2024-01-17 11:10:31
C00066,682-308-9500,2024-01-19 15:21:19
C00066,670-322-3325,2024-01-19 15:21:19
C00067,372-706-5029,2024-01-14 20:24:08
C00068,365-279-4503,2024-01-24 17:24:05
C00068,703-832-7448,2024-01-24 17:24:05
C00069,250-919-4183,2024-01-31 21:01:15
C00069,410-449-7844,2024-01-31 21:01:15
C00070,917-376-8669,2024-01-05 15:28:24
C00070,200-319-1531,2024-01-05 15:28:24
C00071,318-820-7956,2024-01-03 22:36:24
C00072,507-784-6464,2024-01-07 09:31:58
C00072,313-420-5438,2024-01-07 09:31:58
C00073,764-971-7586,2024-01-24 05:14:31
C00073,376-324-5602,2024-01-24 05:14:31
C00073,594-320-2047,2024-01-24 05:14:31
C00074,629-528-9269,2024-01-09 22:59:39
C00074,800-777-7757,2024-01-09 22:59:39
