purchase_id,customer_id,product_id,quantity,total_price,recipient_name,recipient_phone,province,city,district,street_name,house_number,purchase_time
PR0000876,C06050,P0000049,2,1365.02,Kenneth Cruz,624-439-5459,Alaska,Allakaket,Yukon Koyukuk,Smith Shoal,660,2024-05-07 17:08:22
PR0003480,C00108,P0000074,1,514.85,Aimee Rivera,999-412-6184,Virginia,Verona,Augusta,Buchanan Landing,664,2024-04-30 04:32:19
PR0007858,C03742,P0000160,1,143.7,Todd Thomas,456-824-5854,Iowa,Homestead,Iowa,Thomas Route,70,2024-05-15 00:08:21
PR0007371,C05494,P0000198,1,874.13,Angela Vaughn,765-987-8037,Pennsylvania,Girardville,Schuylkill,Sutton Ville,41745,2024-04-16 22:10:26
PR0003598,C04688,P0000280,1,622.63,Patrick Mccall,400-568-1335,New York,Orient,Suffolk,Christopher Streets,542,2024-05-06 16:12:51
PR0002202,C05172,P0000338,1,754.37,Riley Bryant,661-325-9256,Kansas,Potter,Atchison,Sherri Road,259,2024-05-08 03:14:15
PR0004967,C03417,P0000369,1,538.91,Sylvia Schroeder,572-338-2547,Oklahoma,Pryor,Mayes,Brian Route,86178,2024-04-26 01:23:05
PR0000176,C04425,P0000389,1,1065.75,Angela Thomas,309-816-1008,New York,Congers,Rockland,Contreras Island,3526,2024-05-02 23:06:36
PR0005772,C00183,P0000395,1,628.74,Christopher Morris,566-285-4041,Tennessee,Bybee,Cocke,Huffman Mission,69999,2024-05-07 04:45:20
PR0001951,C01440,P0000420,1,1005.87,Julia Torres,471-868-9851,Michigan,Moscow,Hillsdale,Gloria Plaza,692,2024-05-06 06:07:32
PR0000379,C00500,P0000453,1,439.21,James Hansen,325-291-9733,Illinois,Mount Auburn,Christian,Dorsey Shore,2332,2024-05-03 20:01:58
PR0002928,C01964,P0000455,2,239.98,William Castillo,405-558-3993,California,Desert Hot Springs,Riverside,Melanie Course,589,2024-04-22 02:05:23
PR0006289,C06479,P0000476,1,118.89,James Watson,304-892-2914,Virginia,Weyers Cave,Augusta,Sean Course,7140,2024-05-06 05:01:25
PR0008069,C03590,P0000595,3,109.59,Joshua Herman,615-302-6989,Michigan,Long Lake,Iosco,Baker Landing,623,2024-05-01 10:13:07
PR0001371,C05208,P0000733,1,71.8,Michael Fuentes,851-398-2412,South Carolina,Port Royal,Beaufort,Paige Highway,68605,2024-04-26 13:38:44
PR0001244,C03532,P0000752,1,7.17,Sara Schwartz,540-487-4625,Massachusetts,South Lee,Berkshire,Evan Crescent,59274,2024-05-15 21:37:44
PR0003466,C00065,P0000805,2,301.8,Mark Perez,667-494-8945,North Dakota,Bismarck,Burleigh,Williams Meadow,3983,2024-04-28 02:44:00
PR0001778,C02825,P0000826,1,29.93,Mackenzie Garza,251-752-6285,Pennsylvania,Pottstown,Chester,Patricia Brooks,507,2024-04-28 01:09:37
PR0001610,C04952,P0000826,1,29.93,Debra Gallagher,291-393-2967,Tennessee,Greenfield,Weakley,Horne Land,80966,2024-05-12 08:37:03
PR0007733,C03081,P0000913,3,78.87,Michael Davis,568-866-7830,New Jersey,Oceanport,Monmouth,Kimberly Centers,12458,2024-04-23 16:05:36
PR0001325,C03767,P0001005,1,21.5,Kenneth Ellison,463-961-8613,Maryland,Linthicum Heights,Anne Arundel,Pugh Parkway,1147,2024-04-30 10:31:30
PR0000689,C03637,P0001129,1,8.36,Janet Kane DVM,724-215-6133,Virginia,Cripple Creek,Wythe,Andrew Ramp,5207,2024-04-20 18:25:06
PR0001472,C02708,P0001156,3,143.34,Anthony Powell,895-466-1909,Alabama,Maylene,Shelby,Figueroa Mills,673,2024-04-17 00:13:50
PR0003624,C06490,P0001161,1,11.96,Charles Wong,863-701-6998,Texas,Forestburg,Montague,Misty Islands,6847,2024-04-28 02:24:30
PR0001936,C05293,P0001224,1,59.87,Richard Henson,650-864-9172,Indiana,Ferdinand,Dubois,Julie Passage,5327,2024-05-11 07:21:25
