seller_id,phone,create_time
S00001,520-865-2244,2024-01-09 04:44:00
S00001,323-762-4631,2024-01-09 04:44:00
S00002,738-205-4458,2024-01-21 20:15:58
S00002,880-750-5741,2024-01-21 20:15:58
S00003,455-330-7816,2024-01-01 17:03:58
S00003,997-667-8155,2024-01-01 17:03:58
S00004,499-635-1072,2024-01-22 02:33:04
S00004,583-437-3048,2024-01-22 02:33:04
S00005,879-229-2855,2024-01-24 04:58:49
S00006,611-380-4998,2024-01-26 12:36:13
S00007,486-612-4644,2024-01-25 17:56:35
S00007,641-537-7333,2024-01-25 17:56:35
S00008,762-828-7091,2024-01-24 21:15:18
S00009,294-630-5837,2024-01-02 04:17:57
S00009,822-528-4741,2024-01-02 04:17:57
S00010,929-589-3148,2024-01-17 00:45:40
S00010,486-973-2196,2024-01-17 00:45:40
S00011,637-272-2611,2024-01-20 02:12:01
S00012,778-441-4296,2024-01-22 14:10:07
S00012,606-406-1905,2024-01-22 14:10:07
S00013,847-541-3308,2024-01-14 12:46:15
S00014,431-380-6923,2024-01-08 11:47:01
S00014,511-648-1719,2024-01-08 11:47:01
S00015,232-340-3564,2024-01-29 02:30:20
S00016,881-661-7757,2024-01-10 19:38:02
S00016,458-896-6651,2024-01-10 19:38:02
S00017,244-348-8031,2024-01-19 20:43:36
S00017,429-976-7033,2024-01-19 20:43:36
S00018,661-985-1243,2024-01-31 02:40:23
S00019,574-768-5201,2024-01-31 18:47:47
S00020,924-711-4795,2024-01-25 04:11:10
S00021,447-753-6471,2024-01-15 07:52:35
S00022,488-270-4580,2024-01-30 03:50:09
S00023,233-495-9511,2024-01-30 03:23:06
S00023,972-867-8656,2024-01-30 03:23:06
S00024,409-254-2501,2024-01-21 09:46:30
S00024,758-289-1414,2024-01-21 09:46:30
S00025,512-492-7701,2024-01-24 11:53:43
S00025,698-277-4452,2024-01-24 11:53:43
S00026,885-436-7445,2024-01-02 07:53:08
S00027,412-986-4251,2024-01-29 01:30:07
S00027,647-351-2531,2024-01-29 01:30:07
S00028,553-564-1374,2024-01-11 07:58:04
S00029,377-842-3450,2024-01-07 07:31:17
S00029,827-918-3633,2024-01-07 07:31:17
S00030,435-901-8545,2024-01-23 01:05:20
S00030,403-468-1434,2024-01-23 01:05:20
S00031,582-790-2848,2024-01-03 03:41:20
S00032,786-552-5984,2024-01-11 14:28:53
S00032,295-646-4303,2024-01-11 14:28:53
S00033,596-469-2133,2024-01-04 00:55:06
S00033,796-767-4114,2024-01-04 00:55:06
S00034,207-614-5373,2024-01-24 14:43:37
S00034,887-765-7287,2024-01-24 14:43:37
S00035,487-660-8921,2024-01-07 01:27:34
S00035,433-429-3037,2024-01-07 01:27:34
S00036,449-652-5115,2024-01-21 20:40:04
S00036,668-635-1872,2024-01-21 20:40:04
S00037,854-703-8534,2024-01-21 15:07:21
S00037,492-522-5416,2024-01-21 15:07:21
S00038,639-205-8014,2024-01-31 12:01:10
S00039,408-744-2024,2024-01-16 10:56:48
S00039,984-312-5866,2024-01-16 10:56:48
S00040,583-945-7937,2024-01-20 19:39:06
S00041,450-682-3221,2024-01-31 08:49:24
S00041,932-774-5770,2024-01-31 08:49:24
S00042,453-839-9935,2024-01-29 15:13:11
S00042,676-330-9688,2024-01-29 15:13:11
S00043,402-717-7230,2024-01-28 11:42:19
S00044,751-455-8195,2024-01-19 21:58:53
S00045,559-359-4874,2024-01-09 14:07:09
S00046,688-613-7631,2024-01-23 07:29:26
S00047,518-429-7217,2024-01-16 14:18:21
S00048,761-681-7459,2024-01-19 19:17:30
S00049,590-441-7782,2024-01-09 19:38:19
S00050,942-387-6473,2024-01-23 23:24:30
S00051,348-305-1927,2024-01-09 01:57:27
S00051,469-235-9056,2024-01-09 01:57:27
S00052,744-575-9761,2024-01-15 11:37:21
S00052,849-200-6766,2024-01-15 11:37:21
S00053,290-495-2009,2024-01-22 23:39:01
S00054,897-795-2518,2024-01-24 19:00:56
S00055,936-891-9615,2024-01-25 15:04:24
S00056,306-984-5697,2024-01-05 18:33:32
S00056,810-918-3656,2024-01-05 18:33:32
S00057,582-874-6296,2024-01-04 05:39:25
